Cluster,type,id,group_id,name,state,lat,lon,altitude,valid_from,valid_to,has_sunshine,has_global_radiation,is_active
0,COMBINED,8,94.0,Bad Gleichenberg,Steiermark,46.87222,15.90361,269.0,1895-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
1,COMBINED,66,138.0,Obergurgl,Tirol,46.86694,11.02444,1941.0,1953-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
2,COMBINED,68,68.0,Obertauern,Salzburg,47.24889,13.55972,1772.0,1971-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
3,COMBINED,93,193.0,St.Pölten Landhaus,Niederösterreich,48.19972,15.63111,273.6,1947-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
4,COMBINED,27,157.0,Gallspach,Oberösterreich,48.20422,13.825,425.9,1966-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,False,True
5,COMBINED,7,14.0,Bad Gastein,Salzburg,47.11056,13.13336,1092.0,1926-04-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
6,COMBINED,18,107.0,Bruckneudorf,Burgenland,48.01278,16.845,165.6,1939-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
7,COMBINED,24,133.0,Feldkirch,Vorarlberg,47.27111,9.60972,438.4,1895-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
8,COMBINED,42,42.0,Jenbach,Tirol,47.38878,11.75814,530.0,1955-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
9,COMBINED,44,166.0,Kalwang,Steiermark,47.42126,14.75961,743.6,1966-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
10,COMBINED,4,26.0,Amstetten,Niederösterreich,48.10889,14.895,266.0,1936-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
11,COMBINED,13,13.0,Bernstein,Burgenland,47.40833,16.26139,630.8,1949-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
12,COMBINED,21,95.0,Bad Eisenkappel,Kärnten,46.49056,14.59333,623.0,1967-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
13,COMBINED,28,172.0,Galtür,Tirol,46.96806,10.18556,1587.0,1901-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
14,COMBINED,16,87.0,Brenner,Tirol,47.00722,11.51083,1412.0,1948-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
15,COMBINED,25,72.0,Fischbach,Steiermark,47.44417,15.64389,1034.4,1981-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
16,COMBINED,83,142.0,Saalbach,Salzburg,47.38789,12.64844,974.6,1975-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
17,COMBINED,60,75.0,Mattsee,Salzburg,47.97722,13.10556,502.0,1949-06-17 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
18,COMBINED,3,57.0,Allentsteig,Niederösterreich,48.69083,15.36694,598.8,1983-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
19,COMBINED,51,152.0,Langenlebarn,Niederösterreich,48.32389,16.11806,175.3,1963-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
20,COMBINED,6,62.0,Bad Bleiberg,Kärnten,46.62528,13.68444,908.7,1896-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
21,COMBINED,19,213.0,Dellach,Kärnten,46.74189,13.08286,628.2,1962-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,False,True
22,COMBINED,1,59.0,Aflenz,Steiermark,47.54594,15.24069,783.2,1983-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
23,COMBINED,2,2.0,Aigen im Ennstal,Steiermark,47.53278,14.13826,641.0,1939-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
24,COMBINED,5,205.0,Bad Aussee,Steiermark,47.6105,13.75844,743.1,1983-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,False,True
25,COMBINED,37,81.0,Schöngrabern,Niederösterreich,48.60333,16.06167,253.0,1936-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
26,COMBINED,20,76.0,Ehrwald,Tirol,47.40417,10.92,982.0,1972-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
27,COMBINED,71,90.0,Preitenegg,Kärnten,46.938333,14.920278,1059.0,1950-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
28,COMBINED,43,82.0,Kals,Tirol,47.00478,12.6465,1352.4,1951-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
29,COMBINED,15,15.0,Bregenz,Vorarlberg,47.49917,9.74611,424.0,1936-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,True,True,True
